	xH	yH	xmaxH	ymaxH
363	9.174685098864611	9.547685098864612	14.952314901135388	15.325314901135389
823	12.547562610553546	13.066562610553548	11.433437389446452	11.952437389446454
15422	11.160071563549844	12.808071563549847	11.691928436450153	13.339928436450156
23739	12.527617942315908	12.602617942315907	11.897382057684093	11.972382057684092
36651	12.3564021721184	12.404402172118402	12.095597827881598	12.1435978278816
41332	12.015354139241772	12.02235413924177	12.47764586075823	12.484645860758228
59659	12.765019044031968	13.42901904403197	11.07098095596803	11.734980955968032
63594	13.239695700515322	13.498695700515322	11.001304299484678	11.260304299484678
72033	12.807590804733344	12.978590804733344	11.521409195266656	11.692409195266656
75499	13.431766951082084	13.484766951082085	11.015233048917915	11.068233048917916
85498	12.964410282847261	13.48941028284726	11.01058971715274	11.535589717152739
95154	12.51863859146073	12.835638591460727	11.664361408539273	11.98136140853927
97276	13.096309398912153	13.173309398912151	11.326690601087849	11.403690601087847
100135	13.286982360376333	13.349982360376336	11.150017639623664	11.213017639623667
100137	12.637344548981453	12.96934454898145	11.53065545101855	11.862655451018547
134537	13.471807273157374	13.586807273157373	10.913192726842627	11.028192726842626
134839	13.150541608047213	13.196541608047212	11.303458391952788	11.349458391952787
141686	12.370780520895087	13.219780520895087	11.280219479104913	12.129219479104913
144132	12.614860902049669	12.950860902049667	11.549139097950333	11.885139097950331
144296	13.711019532862037	13.73001953286204	10.76998046713796	10.788980467137963
159716	13.552213826077326	13.619213826077322	10.880786173922678	10.947786173922674
164018	12.753757942936264	13.038757942936265	11.461242057063735	11.746242057063736
165650	13.118674284572606	13.247674284572607	11.252325715427393	11.381325715427394
166383	12.631756602529915	12.702756602529913	11.797243397470087	11.868243397470085
168947	13.155480643478	13.396480643478	11.103519356522	11.344519356522
181524	12.594172138082666	12.730172138082665	11.769827861917335	11.905827861917334
183323	13.387731932666128	13.549731932666127	10.950268067333873	11.112268067333872
186067	12.986729298331646	13.154729298331649	11.345270701668351	11.513270701668354
187409	13.507807273157372	13.586807273157373	10.913192726842627	10.992192726842628
191635	11.897435464538274	12.849435464538272	11.650564535461728	12.602564535461726
194116	13.398639736025808	13.563639736025808	10.936360263974192	11.101360263974192
195662	12.524346442399416	13.006346442399416	11.493653557600584	11.975653557600584
196985	12.750301849557383	12.794301849557383	11.705698150442617	11.749698150442617
201831	13.362583198424705	13.368583198424705	11.131416801575295	11.137416801575295
216660	13.648588900185858	13.71158890018586	10.78841109981414	10.851411099814142
230759	13.030132262487225	13.215132262487224	11.284867737512776	11.469867737512775
232442	13.458069761917473	13.596069761917475	10.903930238082525	11.041930238082527
234556	12.127778424106284	13.405778424106286	11.094221575893714	12.372221575893716
236562	13.05687432620031	13.284874326200312	11.215125673799688	11.44312567379969
236711	12.461125865262689	13.03412586526269	11.46587413473731	12.038874134737311
242018	12.863681440377214	13.34068144037721	11.15931855962279	11.636318559622786
263028	13.619205043231593	13.656205043231592	10.843794956768408	10.880794956768407
272885	13.22058319842467	13.368583198424673	11.131416801575327	11.27941680157533
277266	13.010541608047212	13.196541608047212	11.303458391952788	11.489458391952788
296218	12.93626122862455	13.51726122862455	10.98273877137545	11.56373877137545
316163	12.419154920942773	13.136154920942772	11.363845079057228	12.080845079057227
316405	13.156273387427545	13.266273387427544	11.233726612572456	11.343726612572455
319651	10.124240192654147	10.261240192654144	14.238759807345856	14.375759807345853
349400	12.932101224388639	12.96010122438864	11.53989877561136	11.567898775611361
353262	12.655213826077286	13.619213826077289	10.880786173922711	11.844786173922714
372434	12.047346371154333	12.413346371154333	12.086653628845667	12.452653628845667
376730	11.15562874663887	11.517628746638868	12.982371253361132	13.34437125336113
378530	12.724050512799177	12.753050512799177	11.746949487200823	11.775949487200823
389058	13.043978731846282	13.706978731846283	10.793021268153717	11.456021268153718
396166	12.886305455727037	13.108305455727034	11.391694544272966	11.613694544272963
396681	12.886528396725431	13.688528396725431	10.811471603274569	11.613471603274569
402531	13.560297608038764	13.679297608038764	10.820702391961236	10.939702391961236
402533	13.362778424106283	13.405778424106286	11.094221575893714	11.137221575893717
433347	13.262427008245979	13.410427008245982	11.089572991754018	11.237572991754021
444108	12.5791558818467	12.607155881846703	11.892844118153297	11.9208441181533
499324	13.688367584734756	13.702367584734755	10.797632415265245	10.811632415265244
514775	13.181894589733972	13.191894589733973	11.308105410266027	11.318105410266028
517682	11.384973815622045	11.987973815622047	12.512026184377953	13.115026184377955
517719	7.897468590407291	9.668468590407292	14.831531409592708	16.602531409592707
517858	10.879321446845353	11.025321446845354	13.474678553154646	13.620678553154647
517931	10.35079476688762	11.788794766887623	12.711205233112377	14.14920523311238
518034	12.65146552784662	12.992465527846617	11.507534472153383	11.84853447215338
518139	6.528460790469225	8.790460790469222	15.709539209530778	17.971539209530775
518141	7.942077056352874	8.670077056352875	15.829922943647125	16.557922943647128
518147	11.698428371800105	13.317428371800105	11.182571628199895	12.801571628199895
518171	10.375685796129067	11.983685796129068	12.516314203870932	14.124314203870933
518178	11.246622995276919	11.91962299527692	12.58037700472308	13.253377004723081
518275	9.083704942665722	9.467704942665723	15.032295057334277	15.416295057334278
518367	10.237446768615596	11.0104467686156	13.4895532313844	14.262553231384404
518465	11.741323835744273	12.284323835744276	12.215676164255724	12.758676164255727
518482	11.201868984903026	11.906868984903024	12.593131015096976	13.298131015096974
518523	10.67220983904621	10.72420983904621	13.77579016095379	13.82779016095379
518565	8.954915050434236	9.470915050434234	15.029084949565766	15.545084949565764
518639	10.64049014694815	11.493490146948151	13.006509853051849	13.85950985305185
518751	10.391665478402254	12.516665478402254	11.983334521597746	14.108334521597746
518764	11.341610482331433	11.784610482331434	12.715389517668566	13.158389517668567
518765	11.702148379658894	11.818148379658894	12.681851620341106	12.797851620341106
518805	9.76554246459826	10.505542464598259	13.994457535401741	14.73445753540174
518859	11.396006202367928	12.937006202367929	11.562993797632071	13.103993797632072
519115	12.423472555098847	12.748472555098846	11.751527444901154	12.076527444901153
519119	11.6746220291526	11.902622029152601	12.597377970847399	12.8253779708474
519125	10.731453394511922	11.481453394511922	13.018546605488078	13.768546605488078
519235	12.597666421921351	13.43366642192135	11.06633357807865	11.902333578078649
519236	11.993223955861637	13.280223955861636	11.219776044138364	12.506776044138363
519271	11.503599626543064	11.513599626543066	12.986400373456934	12.996400373456936
519384	11.852663539709852	12.812663539709853	11.687336460290147	12.647336460290148
519414	10.753271119597263	11.726271119597266	12.773728880402734	13.746728880402737
519451	11.005502285434556	11.036502285434555	13.463497714565445	13.494497714565444
519716	11.358514167035507	11.635514167035504	12.864485832964496	13.141485832964493
519740	10.487596119968703	11.421596119968704	13.078403880031296	14.012403880031297
519842	12.545065071774161	12.689065071774163	11.810934928225837	11.954934928225839
519848	11.479072113378333	12.183072113378334	12.316927886621666	13.020927886621667
519893	9.27781047099035	10.980810470990352	13.519189529009648	15.22218952900965
519936	9.149970457782784	10.234970457782785	14.265029542217215	15.350029542217216
519992	12.592019044031954	13.429019044031953	11.070980955968047	11.907980955968046
519996	12.694228271137034	13.122228271137034	11.377771728862966	11.805771728862966
520035	11.284463231653397	11.485463231653398	13.014536768346602	13.215536768346603
520175	11.188161328232452	11.37016132823245	13.12983867176755	13.311838671767548
520210	9.279143145716338	10.71714314571634	13.78285685428366	15.220856854283662
520284	12.08610999069542	13.085109990695422	11.414890009304578	12.41389000930458
520294	11.854137389408454	12.476137389408454	12.023862610591546	12.645862610591546
520523	8.46608791083291	9.58908791083291	14.91091208916709	16.03391208916709
520583	10.992998925202379	11.553998925202379	12.946001074797621	13.507001074797621
520590	9.717853939005966	11.541853939005968	12.958146060994032	14.782146060994034
520610	10.46736396892812	10.962363968928122	13.537636031071878	14.03263603107188
520750	11.434440451868642	11.46144045186864	13.03855954813136	13.065559548131358
520869	10.306135100200752	11.619135100200754	12.880864899799246	14.193864899799248
520875	10.596520743597397	11.303520743597394	13.196479256402606	13.903479256402603
520954	8.179327162794051	8.942327162794053	15.557672837205947	16.320672837205947
520972	12.346313524960717	13.438313524960716	11.061686475039284	12.153686475039283
520980	12.643320048311036	12.739320048311036	11.760679951688964	11.856679951688964
520996	11.669910009702383	12.043910009702385	12.456089990297615	12.830089990297617
521207	9.704122864412321	10.304122864412323	14.195877135587677	14.795877135587679
521357	9.413518539420897	9.614518539420898	14.885481460579102	15.086481460579103
521403	10.814192050384493	12.061192050384493	12.438807949615507	13.685807949615507
521485	9.124013112205981	9.735013112205982	14.764986887794018	15.375986887794019
521516	12.735606861448224	13.447606861448223	11.052393138551777	11.764393138551776
521587	9.657470395062358	10.444470395062357	14.055529604937643	14.842529604937642
521704	7.706571730092723	9.259571730092723	15.240428269907277	16.793428269907277
521960	11.985176728310336	12.087176728310332	12.412823271689668	12.514823271689664
522059	8.98243592895451	9.560435928954513	14.939564071045487	15.51756407104549
522108	10.8585562250397	11.996556225039702	12.503443774960298	13.6414437749603
522177	9.981662896709178	10.39066289670918	14.10933710329082	14.518337103290822
522271	10.02769258647895	12.17869258647895	12.32130741352105	14.47230741352105
522339	10.844048597755341	10.966048597755341	13.533951402244659	13.655951402244659
522391	8.440652733189612	9.91265273318961	14.58734726681039	16.059347266810388
522424	8.833787764387026	9.091787764387028	15.408212235612972	15.666212235612974
522633	11.058221823331046	11.366221823331049	13.133778176668951	13.441778176668954
522654	9.666198025885038	10.788198025885038	13.711801974114962	14.833801974114962
522682	7.831776995431101	10.117776995431099	14.382223004568901	16.6682230045689
522715	9.037155044718677	9.49015504471868	15.00984495528132	15.462844955281323
522758	10.027369471347034	11.915369471347036	12.584630528652964	14.472630528652966
522887	12.64031849187577	12.909318491875771	11.590681508124229	11.85968150812423
522929	10.166525235400153	11.26852523540015	13.23147476459985	14.333474764599847
522955	10.431306955935709	10.92930695593571	13.57069304406429	14.068693044064291
523217	12.337134562366993	12.49413456236699	12.00586543763301	12.162865437633007
523234	10.912955014691155	11.872955014691156	12.627044985308844	13.587044985308845
523361	12.160599925994143	12.725599925994144	11.774400074005856	12.339400074005857
523365	12.072346371154351	12.413346371154349	12.086653628845651	12.427653628845649
523386	11.387505046290084	11.672505046290084	12.827494953709916	13.112494953709916
523414	11.329284751312544	11.362284751312545	13.137715248687455	13.170715248687456
523447	10.436517658564794	10.629517658564795	13.870482341435205	14.063482341435206
523466	8.596443142773596	10.140443142773597	14.359556857226403	15.903556857226404
523550	11.41449014694815	11.493490146948151	13.006509853051849	13.08550985305185
523553	10.828461712629473	11.449461712629471	13.050538287370529	13.671538287370527
523646	8.066010718553933	8.545010718553932	15.954989281446068	16.433989281446067
523654	12.932780520895072	13.219780520895071	11.280219479104929	11.567219479104928
523669	11.789196545527057	12.100196545527057	12.399803454472943	12.710803454472943
523671	10.16484084570741	12.082840845707413	12.417159154292587	14.33515915429259
523676	11.08955504109249	11.966555041092489	12.533444958907511	13.41044495890751
523683	11.396552755212344	11.759552755212347	12.740447244787653	13.103447244787656
523718	9.48660981797529	10.995609817975291	13.504390182024709	15.01339018202471
524076	11.736752022626131	12.54375202262613	11.95624797737387	12.763247977373869
524083	11.573004523557495	12.135004523557493	12.364995476442507	12.926995476442505
524103	11.41794820067677	11.549948200676768	12.950051799323232	13.08205179932323
524194	11.161241888840312	12.946241888840312	11.553758111159688	13.338758111159688
524202	12.150384637129743	12.675384637129742	11.824615362870258	12.349615362870257
524210	11.316179804313327	12.240179804313327	12.259820195686673	13.183820195686673
524213	11.746506998569657	12.078506998569654	12.421493001430346	12.753493001430343
524345	11.84393255707145	12.399932557071448	12.100067442928552	12.65606744292855
524395	10.580720681542937	11.126720681542936	13.373279318457064	13.919279318457063
524472	12.693292125988325	13.057292125988326	11.442707874011674	11.806707874011675
524476	12.465081373749555	12.598081373749558	11.901918626250442	12.034918626250445
524500	11.412046251519397	11.6150462515194	12.8849537484806	13.087953748480603
524518	11.002323932523792	11.21832393252379	13.28167606747621	13.497676067476208
524540	10.278848055812125	10.447848055812125	14.052151944187875	14.221151944187875
524562	9.00851000181519	9.725510001815188	14.774489998184812	15.49148999818481
524602	12.051172138082663	12.730172138082665	11.769827861917335	12.448827861917337
524656	10.15737303520316	10.90737303520316	13.59262696479684	14.34262696479684
524732	10.932868984902994	11.906868984902994	12.593131015097006	13.567131015097006
524735	11.933555041092472	11.966555041092473	12.533444958907527	12.566444958907528
524756	10.5424623959548	11.191462395954801	13.308537604045199	13.9575376040452
524898	10.996599233773281	11.02159923377328	13.47840076622672	13.503400766226719
524990	11.19522574913692	11.57022574913692	12.92977425086308	13.30477425086308
525019	9.576901871291167	10.290901871291169	14.209098128708831	14.923098128708833
525092	10.957052043710371	11.55805204371037	12.94194795628963	13.542947956289629
525147	10.86586844465443	12.056868444654429	12.443131555345571	13.63413155534557
525179	9.58773053471369	11.529730534713687	12.970269465286313	14.91226946528631
525238	12.804882942561182	13.377882942561182	11.122117057438818	11.695117057438818
525242	12.816101224388673	12.960101224388675	11.539898775611325	11.683898775611327
525397	11.153756602529898	12.702756602529897	11.797243397470103	13.346243397470102
525460	10.742727400572175	11.092727400572176	13.407272599427824	13.757272599427825
525485	10.392762910992927	10.464762910992926	14.035237089007074	14.107237089007073
525539	7.66109166262558	8.99509166262558	15.50490833737442	16.83890833737442
525558	12.989465527846617	12.992465527846617	11.507534472153383	11.510534472153383
525901	12.079479099244514	13.475479099244515	11.024520900755485	12.420520900755486
525912	11.693464144056467	12.30646414405647	12.19353585594353	12.806535855943533
526068	12.308109990695458	13.085109990695456	11.414890009304544	12.191890009304542
526086	11.138746418009966	12.013746418009966	12.486253581990034	13.361253581990034
526245	11.909854582581701	12.095854582581701	12.404145417418299	12.590145417418299
526260	11.361268389690466	11.664268389690466	12.835731610309534	13.138731610309534
526262	11.58861484279298	11.639614842792978	12.860385157207022	12.91138515720702
526401	9.644423244588777	11.730423244588776	12.769576755411224	14.855576755411223
526480	9.623354047517545	9.760354047517541	14.739645952482459	14.876645952482455
526527	12.93672251583799	12.964722515837993	11.535277484162007	11.56327748416201
526540	11.980970234802138	12.030970234802139	12.469029765197861	12.519029765197862
526541	9.986555041092458	11.966555041092459	12.533444958907541	14.513444958907542
526606	10.274720339106539	10.437720339106539	14.062279660893461	14.225279660893461
526695	10.643002509498467	11.958002509498469	12.541997490501531	13.856997490501533
526740	8.449494838397484	11.096494838397483	13.403505161602517	16.050505161602516
526837	13.332182120208753	13.387182120208752	11.112817879791248	11.167817879791247
526854	11.501782569171379	12.213782569171379	12.286217430828621	12.998217430828621
526920	9.671748156614667	10.601748156614667	13.898251843385333	14.828251843385333
527036	11.225726753681034	11.233726753681037	13.266273246318963	13.274273246318966
527159	11.098520743597396	11.303520743597394	13.196479256402606	13.401479256402604
527182	10.495876619601617	10.532876619601616	13.967123380398384	14.004123380398383
527192	9.950931547849908	10.343931547849909	14.156068452150091	14.549068452150092
527295	11.25116545710011	11.56616545710011	12.93383454289989	13.24883454289989
527430	11.080563003741423	11.590563003741424	12.909436996258576	13.419436996258577
527546	13.13503089299355	13.33603089299355	11.16396910700645	11.36496910700645
527602	10.414324062393275	10.951324062393274	13.548675937606726	14.085675937606725
527655	8.564967047110574	9.412967047110577	15.087032952889423	15.935032952889426
527743	10.16379637313388	10.89279637313388	13.60720362686612	14.33620362686612
527753	10.379352904515677	10.770352904515676	13.729647095484324	14.120647095484323
527856	10.88262502257726	11.41762502257726	13.08237497742274	13.61737497742274
527861	9.285833670277926	11.291833670277926	13.208166329722074	15.214166329722074
527866	9.830809478696104	11.183809478696105	13.316190521303895	14.669190521303896
528112	10.915226317865436	11.623226317865438	12.876773682134562	13.584773682134564
528115	11.504714581024833	11.598714581024835	12.901285418975165	12.995285418975167
528128	8.963264671522316	11.100264671522313	13.399735328477687	15.536735328477684
528217	12.007228833763163	12.262228833763162	12.237771166236838	12.492771166236837
528259	10.666735560228751	10.969735560228752	13.530264439771248	13.833264439771249
528363	11.07499385735917	12.248993857359169	12.251006142640831	13.42500614264083
528368	12.012389634847445	12.209389634847444	12.290610365152556	12.487610365152555
528375	11.208971613702904	11.834971613702901	12.665028386297099	13.291028386297096
528388	10.93622574913692	11.57022574913692	12.92977425086308	13.56377425086308
528404	10.814704459830304	11.047704459830305	13.452295540169695	13.685295540169696
528412	9.72391294368751	10.667912943687513	13.832087056312487	14.77608705631249
528476	10.227824071340482	12.156824071340484	12.343175928659516	14.272175928659518
528505	11.16744045186864	11.46144045186864	13.03855954813136	13.33255954813136
528750	12.11690118931322	12.27990118931322	12.22009881068678	12.38309881068678
528773	10.277420949055374	11.582420949055374	12.917579050944626	14.222579050944626
528813	10.059325327527706	10.215325327527705	14.284674672472295	14.440674672472294
528839	9.435611340277429	9.652611340277428	14.847388659722572	15.064388659722571
528858	12.300494393356598	13.029494393356597	11.470505606643403	12.199505606643402
528981	13.14863271139277	13.35463271139277	11.14536728860723	11.35136728860723
528995	11.933850607314257	12.000850607314254	12.499149392685746	12.566149392685743
529009	10.995473642240212	11.445473642240211	13.054526357759789	13.504526357759788
529055	10.182317617783946	10.327317617783946	14.172682382216054	14.317682382216054
529232	11.09265620045024	11.885656200450242	12.614343799549758	13.40734379954976
