xH_distr,xH_err,yH_distr,yH_err,x_fit,y_fit
,,,,0.0,10.0
0.0,0.0,0.0,0.0,0.36585365853658536,10.170731707317072
0.0,0.0,0.0,0.0,0.7317073170731707,10.341463414634147
0.0,0.0,0.0,0.0,1.0975609756097562,10.512195121951219
0.0,0.0,0.0,0.0,1.4634146341463414,10.682926829268293
0.0,0.0,0.0,0.0,1.8292682926829267,10.853658536585366
0.0,0.0,0.001238114926724,0.0001949847152696,2.1951219512195124,11.024390243902438
0.0,0.0,0.0055882276790657,0.0004302343430181,2.5609756097560976,11.195121951219512
0.0,0.0,0.0074371956905569,0.0009676683768806,2.926829268292683,11.365853658536585
0.0,0.0,0.0081602012589617,0.0008314636284595,3.292682926829268,11.536585365853659
0.0,0.0,0.0088854606964959,0.00105821215667,3.6585365853658534,11.707317073170731
0.0,0.0,0.0103465570950762,0.0009293650877255,4.024390243902439,11.878048780487806
4.437150499849735e-06,5.909553380195523e-06,0.0156098769127697,0.0013333456563408,4.390243902439025,12.048780487804878
2.7494869298700867e-06,2.181542291619105e-06,0.0221328646927715,0.0021813089735935,4.7560975609756095,12.21951219512195
7.246891081168644e-06,6.553750929305911e-06,0.0376167266464962,0.0026497723907861,5.121951219512195,12.390243902439025
2.18109060076295e-05,1.6613344249223134e-05,0.0462152450793692,0.0041580661816985,5.48780487804878,12.560975609756097
2.937450367842077e-05,1.1901291655008064e-05,0.0586000398657833,0.0042308719843088,5.853658536585366,12.731707317073171
6.9024783546029e-05,2.5199637018414177e-05,0.0793007675316122,0.0060618247783974,6.219512195121951,12.902439024390244
0.000124861921825,2.7949747927953823e-05,0.0870916274113942,0.0057243614478062,6.585365853658536,13.073170731707318
0.0001282610065354,3.643875295192223e-05,0.0926909304588003,0.0089360633571367,6.951219512195122,13.24390243902439
0.0003188406802786,5.5093331568830906e-05,0.1003321267203275,0.008027928272621,7.317073170731707,13.414634146341463
0.0005439974315638,0.0001131946271946,0.1137513524408991,0.0083676521507455,7.682926829268292,13.585365853658537
0.0008166950940739,0.0001203023430533,0.1176360715083216,0.009657880959065,8.048780487804878,13.75609756097561
0.0011456911786986,0.0001510616780539,0.123164793057742,0.0098299327802134,8.414634146341463,13.926829268292684
0.0020057148970247,0.0002676806734506,0.1638208376772026,0.0127527509737743,8.78048780487805,14.097560975609756
0.0034671720557546,0.0003731096067427,0.1979575021618109,0.0192922757172155,9.146341463414634,14.26829268292683
0.0059931337238798,0.000608995270549,0.2303422716145052,0.0205056888400843,9.512195121951219,14.439024390243903
0.0093410330144293,0.00138702782205,0.2700229155707903,0.0232749678287536,9.878048780487804,14.609756097560975
0.014650307955733,0.0019112899259557,0.2778467723840205,0.019756756282597,10.24390243902439,14.78048780487805
0.0246190198097334,0.0030404513016154,0.3309225824516355,0.034553135580118,10.609756097560975,14.951219512195122
0.0393770250654754,0.0044760665876523,0.3550074797535477,0.0384349410440643,10.97560975609756,15.121951219512194
0.0658749531903459,0.0053549052274519,0.3840745687613481,0.0339253493022081,11.341463414634147,15.292682926829269
0.0996643181423745,0.0098747588706252,0.4362189288200573,0.0444911887928812,11.707317073170731,15.463414634146343
0.1565172660844109,0.0159926833820299,0.4385446839563477,0.0605817695386457,12.073170731707316,15.634146341463415
0.2453579343702271,0.0208268346657328,0.5230062154233911,0.0685282996602356,12.439024390243903,15.804878048780488
0.3832539537372159,0.0420155666677612,0.5768561230184118,0.0790996514094445,12.804878048780488,15.975609756097562
0.6158321898234896,0.0594171218334466,0.4829716520663421,0.0985734272480334,13.170731707317072,16.146341463414636
0.955756157091451,0.084934562163804,0.2537342683579801,0.0776697891429265,13.536585365853659,16.317073170731707
0.1084018214593286,0.1337669291061637,0.0,0.0,13.902439024390244,16.48780487804878
0.0,0.0,0.0,0.0,14.268292682926829,16.658536585365855
0.0,0.0,0.0,0.0,14.634146341463413,16.829268292682926
0.0,0.0,0.0,0.0,15.0,17.0
