xD_distr,xD_err,yD_distr,yD_err,x_fit,y_fit
,,,,0.0,10.0
2.7247024621407025e-06,1.1158859031479207e-06,0.0,0.0,0.36585365853658536,10.170731707317072
1.1747882529203736e-05,9.10665070190718e-06,0.0,0.0,0.7317073170731707,10.341463414634147
2.7710231742943933e-06,6.450689108372272e-07,0.0,0.0,1.0975609756097562,10.512195121951219
1.6932109452108364e-05,8.911619228678435e-06,0.0,0.0,1.4634146341463414,10.682926829268293
3.708247140602574e-05,1.4350007547895902e-05,0.0,0.0,1.8292682926829267,10.853658536585366
7.184128139912834e-05,1.8804713420565894e-05,0.013491795637669677,0.0004423565583490296,2.1951219512195124,11.024390243902438
0.00012040695094468474,2.1896465109155676e-05,0.01747462234427908,0.0004844336329033464,2.5609756097560976,11.195121951219512
0.00012330595213545502,2.2244247480513617e-05,0.022337655226111825,0.00039380482534972605,2.926829268292683,11.365853658536585
0.0002655561936901895,3.642135700094147e-05,0.025201225595777275,0.0006128847796706101,3.292682926829268,11.536585365853659
0.00046031507741999613,4.732957806353513e-05,0.027703534297770838,0.0006609178352134895,3.6585365853658534,11.707317073170731
0.0006167172843348847,6.2468296882876e-05,0.031097788871582155,0.0007891373825427655,4.024390243902439,11.878048780487806
0.0010306749742955421,8.092271638410045e-05,0.04135934357338336,0.0008221129134106678,4.390243902439025,12.048780487804878
0.0015890512054745477,0.00010063041327243172,0.06070253442871245,0.00104246191788428,4.7560975609756095,12.21951219512195
0.0024349511253944477,9.968556402238605e-05,0.08069803522530639,0.0008634294327712421,5.121951219512195,12.390243902439025
0.003856395927478182,0.00015775009135739304,0.0946744000826309,0.0007769908840917764,5.48780487804878,12.560975609756097
0.006013947991624029,0.00017840024610889436,0.11637199648414624,0.0013945253639984167,5.853658536585366,12.731707317073171
0.009633122022052588,0.00028418905969129467,0.126609285129484,0.0012622628088511817,6.219512195121951,12.902439024390244
0.013247146710927893,0.00037166816028371465,0.13920448327947424,0.0018192306390389628,6.585365853658536,13.073170731707318
0.019769781815712255,0.00031017533399189614,0.1540711863330617,0.0021318970229403694,6.951219512195122,13.24390243902439
0.027955992573139753,0.00043472753614010935,0.16244847182796657,0.0019063098922421776,7.317073170731707,13.414634146341463
0.04012927592902975,0.0005382446149768214,0.17164965551750938,0.0023123562683267764,7.682926829268292,13.585365853658537
0.05413684579882645,0.0008177869818056081,0.18273582025460547,0.0022124651445202107,8.048780487804878,13.75609756097561
0.07304195577524894,0.0010080167058408697,0.20065889709971435,0.0029825992709989865,8.414634146341463,13.926829268292684
0.09350062206303218,0.0009308945557708803,0.23226434910038382,0.0017006558754217211,8.78048780487805,14.097560975609756
0.1137585275771618,0.0010467880172716547,0.272754741156224,0.003098023770745619,9.146341463414634,14.26829268292683
0.13989867801593708,0.001361186260720779,0.32546434015913633,0.0027786970962002232,9.512195121951219,14.439024390243903
0.16221721470670442,0.0016245506224116817,0.35929195490092464,0.005266635595916077,9.878048780487804,14.609756097560975
0.1856183432363888,0.0015199639632935585,0.39739094739271275,0.00344579172653777,10.24390243902439,14.78048780487805
0.20623629075960329,0.001672585761332453,0.4537092204195323,0.0037774621646841336,10.609756097560975,14.951219512195122
0.23228644265159537,0.003221174292650887,0.4968111267345246,0.004174420527410614,10.97560975609756,15.121951219512194
0.24576483542452182,0.0035231842584918177,0.5218296984468405,0.004645332176030903,11.341463414634147,15.292682926829269
0.25140999625283267,0.003444573920182298,0.49139645488720535,0.006299734776318478,11.707317073170731,15.463414634146343
0.24648835807580127,0.004588950211118408,0.2870955569963646,0.003943659142643933,12.073170731707316,15.634146341463415
0.22943681768376897,0.0063418209691526615,0.16125139479308964,0.003484993153148117,12.439024390243903,15.804878048780488
0.18229783473310568,0.007677150460783217,0.09915463874051707,0.004584182388223574,12.804878048780488,15.975609756097562
0.12049019881804819,0.007224506693163316,0.06783723908521294,0.00302565381052429,13.170731707317072,16.146341463414636
0.06686152621307463,0.010365501690811197,0.022388143255364507,0.0017403071112405454,13.536585365853659,16.317073170731707
0.0024673071200204443,0.002959982288626532,0.0,0.0,13.902439024390244,16.48780487804878
0.0,0.0,0.0,0.0,14.268292682926829,16.658536585365855
0.0,0.0,0.0,0.0,14.634146341463413,16.829268292682926
0.0,0.0,0.0,0.0,15.0,17.0
