xD_distr,xD_err,yD_distr,yD_err
2.7247024621407025e-06,1.1158859031479207e-06,0.0,0.0
1.1747882529203736e-05,9.10665070190718e-06,0.0,0.0
2.7710231742943933e-06,6.450689108372272e-07,0.0,0.0
1.6932109452108364e-05,8.911619228678435e-06,0.0,0.0
3.708247140602574e-05,1.4350007547895902e-05,0.0,0.0
7.184128139912834e-05,1.880471342056589e-05,0.0134917956376696,0.000442356558349
0.0001204069509446,2.189646510915568e-05,0.017474622344279,0.0004844336329033
0.0001233059521354,2.2244247480513617e-05,0.0223376552261118,0.0003938048253497
0.0002655561936901,3.642135700094147e-05,0.0252012255957772,0.0006128847796706
0.0004603150774199,4.732957806353513e-05,0.0277035342977708,0.0006609178352134
0.0006167172843348,6.2468296882876e-05,0.0310977888715821,0.0007891373825427
0.0010306749742955,8.092271638410045e-05,0.0413593435733833,0.0008221129134106
0.0015890512054745,0.0001006304132724,0.0607025344287124,0.0010424619178842
0.0024349511253944,9.968556402238604e-05,0.0806980352253063,0.0008634294327712
0.0038563959274781,0.0001577500913573,0.0946744000826309,0.0007769908840917
0.006013947991624,0.0001784002461088,0.1163719964841462,0.0013945253639984
0.0096331220220525,0.0002841890596912,0.126609285129484,0.0012622628088511
0.0132471467109278,0.0003716681602837,0.1392044832794742,0.0018192306390389
0.0197697818157122,0.0003101753339918,0.1540711863330617,0.0021318970229403
0.0279559925731397,0.0004347275361401,0.1624484718279665,0.0019063098922421
0.0401292759290297,0.0005382446149768,0.1716496555175093,0.0023123562683267
0.0541368457988264,0.0008177869818056,0.1827358202546054,0.0022124651445202
0.0730419557752489,0.0010080167058408,0.2006588970997143,0.0029825992709989
0.0935006220630321,0.0009308945557708,0.2322643491003838,0.0017006558754217
0.1137585275771618,0.0010467880172716,0.272754741156224,0.0030980237707456
0.139898678015937,0.0013611862607207,0.3254643401591363,0.0027786970962002
0.1622172147067044,0.0016245506224116,0.3592919549009246,0.005266635595916
0.1856183432363888,0.0015199639632935,0.3973909473927127,0.0034457917265377
0.2062362907596032,0.0016725857613324,0.4537092204195323,0.0037774621646841
0.2322864426515953,0.0032211742926508,0.4968111267345246,0.0041744205274106
0.2457648354245218,0.0035231842584918,0.5218296984468405,0.0046453321760309
0.2514099962528326,0.0034445739201822,0.4913964548872053,0.0062997347763184
0.2464883580758012,0.0045889502111184,0.2870955569963646,0.0039436591426439
0.2294368176837689,0.0063418209691526,0.1612513947930896,0.0034849931531481
0.1822978347331056,0.0076771504607832,0.099154638740517,0.0045841823882235
0.1204901988180481,0.0072245066931633,0.0678372390852129,0.0030256538105242
0.0668615262130746,0.0103655016908111,0.0223881432553645,0.0017403071112405
0.0024673071200204,0.0029599822886265,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
