xH_distr,xH_err,yH_distr,yH_err
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.001238114926724,0.0001949847152696
0.0,0.0,0.0055882276790657,0.0004302343430181
0.0,0.0,0.0074371956905569,0.0009676683768806
0.0,0.0,0.0081602012589617,0.0008314636284595
0.0,0.0,0.0088854606964959,0.00105821215667
0.0,0.0,0.0103465570950762,0.0009293650877255
4.437150499849735e-06,5.909553380195523e-06,0.0156098769127697,0.0013333456563408
2.7494869298700867e-06,2.181542291619105e-06,0.0221328646927715,0.0021813089735935
7.246891081168644e-06,6.553750929305911e-06,0.0376167266464962,0.0026497723907861
2.18109060076295e-05,1.6613344249223134e-05,0.0462152450793692,0.0041580661816985
2.937450367842077e-05,1.1901291655008064e-05,0.0586000398657833,0.0042308719843088
6.9024783546029e-05,2.5199637018414177e-05,0.0793007675316122,0.0060618247783974
0.000124861921825,2.7949747927953823e-05,0.0870916274113942,0.0057243614478062
0.0001282610065354,3.643875295192223e-05,0.0926909304588003,0.0089360633571367
0.0003188406802786,5.5093331568830906e-05,0.1003321267203275,0.008027928272621
0.0005439974315638,0.0001131946271946,0.1137513524408991,0.0083676521507455
0.0008166950940739,0.0001203023430533,0.1176360715083216,0.009657880959065
0.0011456911786986,0.0001510616780539,0.123164793057742,0.0098299327802134
0.0020057148970247,0.0002676806734506,0.1638208376772026,0.0127527509737743
0.0034671720557546,0.0003731096067427,0.1979575021618109,0.0192922757172155
0.0059931337238798,0.000608995270549,0.2303422716145052,0.0205056888400843
0.0093410330144293,0.00138702782205,0.2700229155707903,0.0232749678287536
0.014650307955733,0.0019112899259557,0.2778467723840205,0.019756756282597
0.0246190198097334,0.0030404513016154,0.3309225824516355,0.034553135580118
0.0393770250654754,0.0044760665876523,0.3550074797535477,0.0384349410440643
0.0658749531903459,0.0053549052274519,0.3840745687613481,0.0339253493022081
0.0996643181423745,0.0098747588706252,0.4362189288200573,0.0444911887928812
0.1565172660844109,0.0159926833820299,0.4385446839563477,0.0605817695386457
0.2453579343702271,0.0208268346657328,0.5230062154233911,0.0685282996602356
0.3832539537372159,0.0420155666677612,0.5768561230184118,0.0790996514094445
0.6158321898234896,0.0594171218334466,0.4829716520663421,0.0985734272480334
0.955756157091451,0.084934562163804,0.2537342683579801,0.0776697891429265
0.1084018214593286,0.1337669291061637,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
